candidate_id,fold_count,validation_row_count,weighted_mean_degree_ladder_nll,mean_degree_ladder_nll,std_degree_ladder_nll,weighted_mean_degree_ladder_brier,mean_degree_ladder_brier,std_degree_ladder_brier,weighted_mean_degree_ladder_rps,mean_degree_ladder_rps,std_degree_ladder_rps,weighted_mean_event_bin_nll,mean_event_bin_nll,std_event_bin_nll,weighted_mean_event_bin_brier,mean_event_bin_brier,std_event_bin_brier,weighted_mean_final_tmax_q50_mae_f,mean_final_tmax_q50_mae_f,std_final_tmax_q50_mae_f,weighted_mean_final_tmax_q50_rmse_f,mean_final_tmax_q50_rmse_f,std_final_tmax_q50_rmse_f,weighted_mean_q05_q95_coverage,mean_q05_q95_coverage,std_q05_q95_coverage,weighted_mean_q05_pinball_loss,mean_q05_pinball_loss,std_q05_pinball_loss,weighted_mean_q10_pinball_loss,mean_q10_pinball_loss,std_q10_pinball_loss,weighted_mean_q25_pinball_loss,mean_q25_pinball_loss,std_q25_pinball_loss,weighted_mean_q50_pinball_loss,mean_q50_pinball_loss,std_q50_pinball_loss,weighted_mean_q75_pinball_loss,mean_q75_pinball_loss,std_q75_pinball_loss,weighted_mean_q90_pinball_loss,mean_q90_pinball_loss,std_q90_pinball_loss,weighted_mean_q95_pinball_loss,mean_q95_pinball_loss,std_q95_pinball_loss
very_regularized_min_leaf70_lgbm_350,2,729,2.3978161775821962,2.397889884721277,0.053732504390050506,0.8601590509224752,0.8601661582212592,0.0051812208134875415,0.011367040418156265,0.011368059479518855,0.0007428957333287627,1.5370073172835572,1.5371577330343158,0.10965308230302062,0.6637171714705289,0.6637571901050563,0.0291735845704314,1.4687345278121864,1.4687999891677923,0.047721328236676186,2.0465111327566445,2.046592950283218,0.0596449768721089,0.8052126200274349,0.8052009634201415,0.00849766671684482,0.23827054959309632,0.2382919939253344,0.015632918201576362,0.36431711431451635,0.36433993772127915,0.016638263530078745,0.6042624319972154,0.6043012614262144,0.02830665374022656,0.7343672639060931,0.734399994583896,0.023860664118338093,0.59227175626242,0.5923011923788154,0.02145892885225764,0.34892445649758785,0.34893978261637243,0.01117274059393547,0.2140623504843116,0.2140778959689082,0.011332658270899854
very_regularized_lr020_lgbm_450,2,729,2.438705422927826,2.4388160831617753,0.08067131054839538,0.8591378315061821,0.8591451670165076,0.005347587027264733,0.011301568527580828,0.011302531930710567,0.0007023208815810054,1.5492279190085254,1.5493974533779742,0.12359055532806151,0.6671533743534294,0.6671942820490373,0.02982171009822998,1.4543655191877167,1.4544185240407472,0.038640537859129465,2.0294139667744258,2.029487844322003,0.05385673218356113,0.7846364883401921,0.7846153846153847,0.015384615384615385,0.2449236378752959,0.24495067539323737,0.019710350579323938,0.3698091263921024,0.36983500252063317,0.0188636976989513,0.6035040575020602,0.60353911491587,0.0255568546672848,0.7272337688050045,0.7272603412991173,0.019371348208308437,0.5849745413907328,0.5849991693825717,0.017953806050539645,0.3476891933569458,0.3477037926910794,0.010642914583410434,0.2156365679241721,0.2156568014572393,0.014750245605998552
very_regularized_l2_8_lgbm_350,2,729,2.4542747771430466,2.4543658744281487,0.0664099208392599,0.8610198269118035,0.8610248739173793,0.003679267064779501,0.01128424947465004,0.011285212467538481,0.0007020218156743533,1.5594778022533773,1.559622736177214,0.10565683047700236,0.6670619299749355,0.6670958542555245,0.02473080054944926,1.4482372555324914,1.448294449885421,0.041694683285663614,2.024579318948344,2.024652821236736,0.05358316823800302,0.7901234567901234,0.7901023633900346,0.015377088664759897,0.24411932576801654,0.2441459451353895,0.019405518814914022,0.37268348684088526,0.3727063563760743,0.016671891152794688,0.6068397048449781,0.606877882854584,0.02783176900281964,0.7241974701311022,0.724226071586685,0.02085046111977429,0.5837197053568808,0.5837427133844615,0.016772852106296254,0.3454695481370319,0.34548351851057557,0.010184402313299812,0.2162038833754779,0.2162246662492262,0.015150714962483089
regularized_shallow_lr025_lgbm_350,2,729,2.4339849179124537,2.4340550541649257,0.05112932805194936,0.8557302523454289,0.8557307494149214,0.00036236366007313947,0.011206473458950046,0.01120737959746128,0.0006605749746908546,1.5657814860129233,1.565929406183216,0.10783380414325683,0.6690875263716488,0.6691298974172626,0.03088849225246154,1.4401037802452958,1.440156756452975,0.03861965539803058,2.0176066922733145,2.0176903746366572,0.06100444287668383,0.7887517146776406,0.7887550805359025,0.0024537106728887426,0.24260225743658395,0.24261396344973113,0.008533683584295057,0.3799421112475999,0.3799763858731661,0.024986202037767913,0.6081133657117826,0.6081533400835634,0.029141317028183678,0.7202968545656819,0.7203236188250344,0.019511145067914015,0.5759435740320787,0.5759724129020924,0.021023536239975937,0.3375640111290989,0.33756986078183693,0.004264396845972157,0.21513817497180568,0.21515383118256926,0.01141337764663046
regularized_shallow_l2_5_lgbm_300,2,729,2.451685687680136,2.4517899835001398,0.07603165278311841,0.8599681580558831,0.859971869010774,0.0027052861155264507,0.011270418952672438,0.011271309056180434,0.0006488854573277174,1.566699462905445,1.5668746425331896,0.12770594862580908,0.670533563507268,0.6705772684084728,0.03186087297830481,1.4410785458296596,1.4411371734308083,0.042739521237271316,2.021306979141502,2.0213917105386754,0.06176918853935065,0.7750342935528121,0.7750037633599277,0.022256510612674973,0.25392775293939546,0.2539565290654193,0.020977795871418056,0.37998830265148864,0.3800192151133272,0.022535184680287257,0.6054107283981812,0.6054460103655728,0.025720554228425174,0.720593749731211,0.7206230603408268,0.021367434409872876,0.5759598541935917,0.5759835420061128,0.017268415327869324,0.3454912130724049,0.3455063686636584,0.011048426023845148,0.21380370290542178,0.21382147525577036,0.012956043404110607
very_regularized_lgbm_350,2,729,2.4604725086584347,2.460568995192622,0.07033868342260918,0.8611251120283651,0.8611318333681508,0.004899856703782957,0.011307138322264128,0.011308096130884206,0.0006982424840355122,1.566723854339324,1.5668685298531582,0.10546844958497736,0.6669792292144142,0.6670181915828675,0.028403566602505592,1.458085434486411,1.4581438529583157,0.04258706601849582,2.031364557362149,2.031439872982112,0.05490508695347063,0.7805212620027435,0.7805057955742887,0.011275026343519456,0.2487009428668619,0.24872853652228433,0.02011577480295973,0.374280546526915,0.37430530019477515,0.018045423870054228,0.6065049155378812,0.6065395533300262,0.025250950473691858,0.729044473539695,0.7290736803697618,0.021291779118643883,0.5855939472675229,0.585618014800078,0.01754523123277546,0.3423883659307816,0.3424003619772523,0.008745117877173164,0.2182747953250267,0.21829375791090355,0.01382372510422511
very_regularized_lr030_lgbm_300,2,729,2.4650828918384184,2.4651978763116786,0.08382368100650783,0.8558716905808152,0.8558799217051605,0.00600048964771438,0.011286102883956274,0.011287092931608473,0.0007217447384514639,1.5687381764993524,1.5688980127257983,0.11652060907907114,0.6675505080152148,0.6675888938469989,0.02798327137066825,1.4472476480376641,1.4473028235827217,0.04022297234683758,2.025799415274395,2.025872752014215,0.05346248332894843,0.7722908093278463,0.7722640373325305,0.019516784585277724,0.2547232994183144,0.2547551886856662,0.02324727589949159,0.37602019670809905,0.37604900985216017,0.0210047820206182,0.6021198333839395,0.6021555739683873,0.026054886062379656,0.723487424389502,0.7235151467839285,0.020209625536898146,0.5829322743727072,0.5829590556881832,0.019523578982035994,0.34723609339338085,0.3472490110692011,0.009416985672951406,0.21751269479509103,0.21753414383116393,0.015636347297159
regularized_shallow_min_leaf50_lgbm_300,2,729,2.4512283360381164,2.4513812362932557,0.11146428599637703,0.8600433385586962,0.8600582287715879,0.010854965198068112,0.011314500364583717,0.011315532100081259,0.0007521351777079067,1.5689874276722215,1.5691791256624117,0.13974783484868647,0.6681741518464451,0.6682162666836726,0.030701716338815466,1.450125696677079,1.4501843280295967,0.04274225598538117,2.0294021927161072,2.029480022478289,0.056737896630733364,0.7846364883401921,0.7846191479753124,0.012641125997290337,0.25367326524866485,0.2537092255462923,0.026215056970430903,0.37809698449169926,0.3781327163263759,0.026048507479247446,0.6043252186428767,0.6043628854368699,0.027459092821043696,0.7253288028951228,0.7253583207392655,0.02151850838001318,0.5821656981220754,0.5821885908773877,0.016688818622614066,0.3471993684826955,0.34721079973318536,0.008333381607123158,0.21502933855638015,0.2150499627607093,0.015035044955947693
very_regularized_frac075_lgbm_350,2,729,2.4527014397737483,2.452832523075508,0.09555972698298798,0.8608778744171668,0.8608896599147748,0.008591627756226794,0.01129786841770889,0.011298870988467775,0.000730874083229506,1.571191752314536,1.5713614116594614,0.1236816624506003,0.6701207454713372,0.6701650412712044,0.0322916381031042,1.450002679675107,1.4500607242887458,0.04231452334261121,2.031193217127409,2.0312752096162145,0.05977252433914548,0.7846364883401921,0.7846153846153847,0.015384615384615385,0.2490252086535937,0.24905153770452843,0.019193878131442618,0.373732492674473,0.37376422422880484,0.023132303107876256,0.6037053050019379,0.6037452873803353,0.029147153851715346,0.725007242078127,0.7250364746260618,0.02131052744446177,0.5837606448793998,0.5837857554627767,0.018305615281793197,0.3466282079994375,0.3466427779532574,0.010621496334692143,0.21913904643330176,0.2191612616582917,0.016194899017641262
regularized_shallow_min_leaf40_lgbm_300,2,729,2.450794450585329,2.450918802877005,0.09065282063178515,0.8586171626156915,0.8586236692513924,0.004743337425868466,0.011242020107588322,0.01124302046319025,0.0007292592338049185,1.5718512210160873,1.5720209301263663,0.12371794139348247,0.6666396736116901,0.6666831725264839,0.03171070888470634,1.4387007436929131,1.4387518127942744,0.03722937489238631,2.0169166901667954,2.016992151270153,0.05501114434764309,0.7695473251028807,0.7695318380249887,0.011290079783230489,0.24910099251215398,0.24912672033876296,0.018755585597956287,0.38086705543162586,0.3809014620685747,0.02508243833571011,0.6091984030087216,0.6092390197008924,0.029609568592589453,0.7194397683284558,0.7194654261352683,0.018704541166364663,0.5743965708043265,0.5744220247803334,0.018555948509117015,0.34443386142386534,0.3444533232468229,0.014187668936024078,0.22123276081714946,0.22125530729736448,0.01643638407675173
